"count","datetime","season","holiday","workingday","weather","temp","atemp","humidity","windspeed","casual","registered"
11,"2011-01-09 02:00:00",1,0,0,1,4.1,3.03,46,31.0009,0,11
4,"2011-01-09 03:00:00",1,0,0,1,4.1,3.79,46,27.9993,0,4
1,"2011-01-09 04:00:00",1,0,0,1,3.28,4.545,53,12.998,0,1
1,"2011-01-09 05:00:00",1,0,0,1,3.28,4.545,53,12.998,0,1
1,"2011-01-09 06:00:00",1,0,0,1,4.1,4.545,49,19.0012,0,1
6,"2011-01-09 07:00:00",1,0,0,1,3.28,4.545,53,12.998,1,5
10,"2011-01-09 08:00:00",1,0,0,1,4.1,4.545,49,19.0012,0,10
19,"2011-01-09 09:00:00",1,0,0,1,4.92,3.79,46,35.0008,0,19
49,"2011-01-09 10:00:00",1,0,0,1,5.74,5.305,43,26.0027,0,49
49,"2011-01-09 11:00:00",1,0,0,1,6.56,6.06,40,35.0008,2,47
83,"2011-01-09 12:00:00",1,0,0,1,7.38,6.82,37,30.0026,4,79
75,"2011-01-09 13:00:00",1,0,0,1,8.2,8.335,34,30.0026,6,69
72,"2011-01-09 14:00:00",1,0,0,1,9.02,9.09,32,31.0009,8,64
82,"2011-01-09 15:00:00",1,0,0,1,9.02,9.85,35,23.9994,5,77
92,"2011-01-09 16:00:00",1,0,0,1,8.2,8.335,34,30.0026,13,79
62,"2011-01-09 17:00:00",1,0,0,1,7.38,7.575,37,26.0027,3,59
48,"2011-01-09 18:00:00",1,0,0,1,6.56,6.82,40,22.0028,4,44
41,"2011-01-09 19:00:00",1,0,0,1,6.56,6.82,43,22.0028,1,40
38,"2011-01-09 20:00:00",1,0,0,1,5.74,6.06,46,16.9979,0,38
20,"2011-01-09 21:00:00",1,0,0,1,5.74,5.305,46,27.9993,1,19
15,"2011-01-09 22:00:00",1,0,0,1,5.74,6.06,46,19.9995,5,10
6,"2011-01-09 23:00:00",1,0,0,1,4.92,6.82,50,12.998,0,6
5,"2011-01-10 00:00:00",1,0,1,1,4.92,6.06,50,19.0012,2,3
1,"2011-01-10 01:00:00",1,0,1,1,4.92,6.06,50,19.0012,1,0
3,"2011-01-10 02:00:00",1,0,1,1,4.92,6.06,50,15.0013,0,3
1,"2011-01-10 03:00:00",1,0,1,1,4.92,6.06,50,15.0013,0,1
3,"2011-01-10 04:00:00",1,0,1,1,4.1,6.06,54,8.9981,1,2
3,"2011-01-10 05:00:00",1,0,1,1,4.1,5.305,54,16.9979,0,3
31,"2011-01-10 06:00:00",1,0,1,1,4.92,6.06,50,19.0012,0,31
77,"2011-01-10 07:00:00",1,0,1,1,4.92,6.06,50,15.0013,2,75
188,"2011-01-10 08:00:00",1,0,1,2,4.92,6.06,50,19.0012,4,184
94,"2011-01-10 09:00:00",1,0,1,2,5.74,6.06,50,16.9979,2,92
31,"2011-01-10 10:00:00",1,0,1,2,5.74,6.06,50,19.9995,0,31
30,"2011-01-10 11:00:00",1,0,1,2,6.56,6.82,47,19.0012,2,28
52,"2011-01-10 12:00:00",1,0,1,2,8.2,9.09,40,19.0012,5,47
54,"2011-01-10 13:00:00",1,0,1,2,8.2,9.09,40,19.0012,4,50
47,"2011-01-10 14:00:00",1,0,1,2,8.2,9.85,40,15.0013,0,47
45,"2011-01-10 15:00:00",1,0,1,2,8.2,9.85,40,15.0013,2,43
74,"2011-01-10 16:00:00",1,0,1,1,8.2,10.605,40,8.9981,4,70
178,"2011-01-10 17:00:00",1,0,1,1,8.2,11.365,40,7.0015,4,174
155,"2011-01-10 18:00:00",1,0,1,1,8.2,9.85,40,15.0013,1,154
95,"2011-01-10 19:00:00",1,0,1,1,6.56,8.335,47,11.0014,3,92
74,"2011-01-10 20:00:00",1,0,1,1,6.56,8.335,50,11.0014,1,73
38,"2011-01-10 21:00:00",1,0,1,1,5.74,6.82,59,12.998,1,37
24,"2011-01-10 22:00:00",1,0,1,1,5.74,7.575,59,11.0014,2,22
18,"2011-01-10 23:00:00",1,0,1,1,5.74,7.575,59,11.0014,0,18
12,"2011-01-11 00:00:00",1,0,1,1,5.74,8.335,59,7.0015,2,10
3,"2011-01-11 01:00:00",1,0,1,1,5.74,7.575,59,11.0014,0,3
3,"2011-01-11 02:00:00",1,0,1,2,6.56,7.575,55,12.998,0,3
6,"2011-01-11 05:00:00",1,0,1,2,6.56,9.09,55,8.9981,0,6
27,"2011-01-11 06:00:00",1,0,1,2,6.56,9.09,55,8.9981,0,27
99,"2011-01-11 07:00:00",1,0,1,2,6.56,11.365,55,0,2,97
217,"2011-01-11 08:00:00",1,0,1,2,7.38,10.605,51,6.0032,3,214
130,"2011-01-11 09:00:00",1,0,1,2,7.38,9.85,51,11.0014,3,127
54,"2011-01-11 10:00:00",1,0,1,2,8.2,10.605,51,11.0014,3,51
35,"2011-01-11 11:00:00",1,0,1,2,8.2,10.605,47,8.9981,4,31
57,"2011-01-11 12:00:00",1,0,1,2,8.2,11.365,51,7.0015,2,55
52,"2011-01-11 13:00:00",1,0,1,2,8.2,11.365,59,6.0032,6,46
63,"2011-01-11 14:00:00",1,0,1,2,8.2,11.365,59,6.0032,3,60
47,"2011-01-11 15:00:00",1,0,1,2,6.56,9.85,80,6.0032,2,45
76,"2011-01-11 16:00:00",1,0,1,2,6.56,7.575,86,15.0013,4,72
136,"2011-01-11 17:00:00",1,0,1,2,6.56,7.575,86,15.0013,6,130
95,"2011-01-11 18:00:00",1,0,1,3,6.56,9.09,93,7.0015,1,94
51,"2011-01-11 19:00:00",1,0,1,3,6.56,11.365,93,0,0,51
32,"2011-01-11 20:00:00",1,0,1,3,6.56,7.575,93,12.998,0,32
20,"2011-01-11 21:00:00",1,0,1,3,6.56,9.85,86,6.0032,0,20
29,"2011-01-11 22:00:00",1,0,1,3,6.56,9.09,93,7.0015,1,28
19,"2011-01-11 23:00:00",1,0,1,3,6.56,9.85,93,6.0032,1,18
7,"2011-01-12 00:00:00",1,0,1,2,6.56,9.85,86,6.0032,0,7
6,"2011-01-12 01:00:00",1,0,1,2,6.56,9.09,86,7.0015,0,6
1,"2011-01-12 02:00:00",1,0,1,1,5.74,7.575,86,8.9981,0,1
5,"2011-01-12 05:00:00",1,0,1,1,5.74,7.575,86,11.0014,0,5
16,"2011-01-12 06:00:00",1,0,1,1,4.92,7.575,93,8.9981,0,16
54,"2011-01-12 07:00:00",1,0,1,1,5.74,7.575,69,8.9981,0,54
128,"2011-01-12 08:00:00",1,0,1,1,6.56,8.335,59,11.0014,3,125
81,"2011-01-12 09:00:00",1,0,1,1,6.56,6.82,59,22.0028,3,78
39,"2011-01-12 10:00:00",1,0,1,1,7.38,9.09,55,15.0013,0,39
35,"2011-01-12 11:00:00",1,0,1,1,8.2,9.09,51,26.0027,3,32
55,"2011-01-12 12:00:00",1,0,1,1,8.2,7.575,47,39.0007,3,52
49,"2011-01-12 13:00:00",1,0,1,1,9.02,9.85,44,23.9994,0,49
44,"2011-01-12 14:00:00",1,0,1,1,8.2,9.09,47,22.0028,0,44
49,"2011-01-12 15:00:00",1,0,1,1,8.2,8.335,47,27.9993,1,48
68,"2011-01-12 16:00:00",1,0,1,1,9.02,9.85,44,22.0028,5,63
139,"2011-01-12 17:00:00",1,0,1,1,8.2,9.09,47,23.9994,0,139
137,"2011-01-12 18:00:00",1,0,1,1,8.2,7.575,47,35.0008,2,135
83,"2011-01-12 19:00:00",1,0,1,1,7.38,7.575,47,27.9993,1,82
56,"2011-01-12 20:00:00",1,0,1,1,6.56,6.82,50,22.0028,2,54
57,"2011-01-12 21:00:00",1,0,1,1,6.56,6.82,55,22.0028,0,57
33,"2011-01-12 22:00:00",1,0,1,1,6.56,6.06,55,30.0026,1,32
20,"2011-01-12 23:00:00",1,0,1,1,5.74,5.305,59,27.9993,1,19
7,"2011-01-13 00:00:00",1,0,1,1,5.74,6.06,59,19.0012,1,6
2,"2011-01-13 01:00:00",1,0,1,1,5.74,6.06,50,19.0012,0,2
2,"2011-01-13 02:00:00",1,0,1,1,5.74,6.06,50,23.9994,0,2
3,"2011-01-13 03:00:00",1,0,1,1,5.74,6.06,50,22.0028,0,3
4,"2011-01-13 04:00:00",1,0,1,1,5.74,6.06,50,16.9979,0,4
3,"2011-01-13 05:00:00",1,0,1,1,5.74,6.06,50,19.9995,0,3
28,"2011-01-13 06:00:00",1,0,1,1,4.92,7.575,54,8.9981,0,28
72,"2011-01-13 07:00:00",1,0,1,1,4.92,7.575,54,8.9981,0,72
202,"2011-01-13 08:00:00",1,0,1,1,5.74,6.82,50,12.998,5,197
139,"2011-01-13 09:00:00",1,0,1,1,5.74,6.06,50,22.0028,2,137
38,"2011-01-13 10:00:00",1,0,1,2,6.56,6.82,50,23.9994,2,36
37,"2011-01-13 11:00:00",1,0,1,2,8.2,8.335,44,30.0026,4,33
52,"2011-01-13 12:00:00",1,0,1,1,8.2,8.335,44,27.9993,3,49
83,"2011-01-13 13:00:00",1,0,1,1,9.02,9.85,41,30.0026,2,81
42,"2011-01-13 14:00:00",1,0,1,1,9.02,9.85,41,26.0027,3,39
60,"2011-01-13 15:00:00",1,0,1,1,9.84,10.605,38,19.9995,5,55
78,"2011-01-13 16:00:00",1,0,1,1,9.84,10.605,38,23.9994,2,76
162,"2011-01-13 17:00:00",1,0,1,1,8.2,9.09,40,19.0012,4,158
144,"2011-01-13 18:00:00",1,0,1,1,8.2,9.09,40,22.0028,3,141
99,"2011-01-13 19:00:00",1,0,1,1,6.56,7.575,47,16.9979,1,98
64,"2011-01-13 20:00:00",1,0,1,1,6.56,7.575,47,15.0013,0,64
40,"2011-01-13 21:00:00",1,0,1,1,5.74,6.06,46,19.9995,0,40
30,"2011-01-13 22:00:00",1,0,1,1,5.74,6.06,46,22.0028,0,30
15,"2011-01-13 23:00:00",1,0,1,1,4.92,6.82,50,12.998,1,14
14,"2011-01-14 00:00:00",1,0,1,1,4.92,6.82,50,12.998,0,14
5,"2011-01-14 01:00:00",1,0,1,1,4.1,6.06,54,11.0014,0,5
1,"2011-01-14 02:00:00",1,0,1,1,4.1,6.06,54,8.9981,0,1
1,"2011-01-14 03:00:00",1,0,1,1,4.1,6.82,54,7.0015,0,1
8,"2011-01-14 05:00:00",1,0,1,1,4.1,6.82,54,6.0032,0,8
17,"2011-01-14 06:00:00",1,0,1,1,4.1,9.09,54,0,0,17
70,"2011-01-14 07:00:00",1,0,1,1,4.1,6.06,74,11.0014,0,70
158,"2011-01-14 08:00:00",1,0,1,1,4.92,8.335,68,0,2,156
117,"2011-01-14 09:00:00",1,0,1,1,5.74,7.575,69,8.9981,0,117
44,"2011-01-14 10:00:00",1,0,1,1,7.38,9.09,55,12.998,4,40
53,"2011-01-14 11:00:00",1,0,1,1,7.38,8.335,51,19.0012,6,47
61,"2011-01-14 12:00:00",1,0,1,1,8.2,9.85,44,16.9979,2,59
77,"2011-01-14 13:00:00",1,0,1,1,9.02,9.85,37,26.0027,4,73
64,"2011-01-14 14:00:00",1,0,1,1,9.02,10.605,41,19.0012,5,59
68,"2011-01-14 15:00:00",1,0,1,1,9.84,12.12,38,11.0014,9,59
90,"2011-01-14 16:00:00",1,0,1,1,9.02,12.12,41,7.0015,3,87
159,"2011-01-14 17:00:00",1,0,1,1,9.02,11.365,41,11.0014,4,155
139,"2011-01-14 18:00:00",1,0,1,1,8.2,12.88,47,0,5,134
92,"2011-01-14 19:00:00",1,0,1,1,6.56,9.85,59,6.0032,3,89
68,"2011-01-14 20:00:00",1,0,1,1,7.38,12.12,59,0,0,68
52,"2011-01-14 21:00:00",1,0,1,1,6.56,11.365,69,0,4,48
36,"2011-01-14 22:00:00",1,0,1,2,6.56,11.365,69,0,2,34
27,"2011-01-14 23:00:00",1,0,1,2,7.38,12.12,55,0,1,26
28,"2011-01-15 00:00:00",1,0,0,1,7.38,12.12,55,0,3,25
20,"2011-01-15 01:00:00",1,0,0,2,6.56,9.85,59,6.0032,2,18
